Job Title,Company,Location,Salary,Summary
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science. Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data Scientist TV Media,Procter & Gamble,,,"Evaluate available data sources including data from industry tools, panels and internal systems, and propose strategic acquisition or crafting of new data…"
Clin Plan Analyst 2,IQVIA,"Thane, Maharashtra",,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
DATA SCIENTIST,Britive,"Bengaluru, Karnataka",,"Deep understanding of algorithms, machine learning and data science.You have a strong data science background and understands the use of a variety of data…"
"Senior Data Scientist, NLP",Fractal Analytics,"Mumbai, Maharashtra",,"Problem scoping, data gathering, EDA, modeling, insights, and visualizations.Medical adherence, medical risk profiling, EHR data, fraud-waste-abuse."
Delivery Data Scientist,Microsoft,India,,Love to work within an international team on the most challenging data science.Demonstrated leadership in mentoring and training other Data Scientists .
Data Scientist,Trell,"Bengaluru, Karnataka",,"2 years of hands-on experience in designing algorithms in Data Science and Artificial Intelligence.High proficiency with standard database skills (e.g., SQL),…"
Solution Delivery Analyst(Data Science) - Healthcare Systems...,McKinsey & Company,"Gurgaon, Haryana",,"Experience of working with large databases, data visualization tools, machine learning and statistics preferred;Working knowledge of SQL is important."
Data Science Delivery Manager,Aptagrim Consulting,"Hyderabad, Telangana",,"Master’s Degree in data science, statistics, math, computer science, or related quantitative fields.1+ years of direct experience leading a team of data…"
Data Science Professionals,Rebaca,"Kolkata, West Bengal",,"Experience with common data science toolkits, such as NumPy, MatLab, Keras, Tensorflow, PyTorch, Scikit learn, etc.Experience in Python & R programming."
Data Research Analyst,Morningstar,"Mumbai, Maharashtra",,"The Data Analyst works with other Data Analysts, Data Developers, Product Managers, and Client Support Specialists to ensure Commodity Data distributes accurate…"
Data Science Engineer,ixigo.com,"Gurgaon, Haryana",,As a Data Science engineer you will own the end-to-end reporting for ixigo by using data from multiple sources.Working knowledge of Spark / SparkR / pySpark.
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science.Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data Scientist TV Media,Procter & Gamble,,,"Evaluate available data sources including data from industry tools, panels and internal systems, and propose strategic acquisition or crafting of new data…"
Data mining analyst (Part,Arsh Biotech,India,,Bachelors in any of the Life Sciences (Students undertaking Bachelors may also apply). Excellent written communication skills and domain expertise in Biology.
"Technology head Data science, data analytics background",Truedge Software Solutions,"Hyderabad, Telangana",,"Data science, data analytics background preferred. Technology head Data science, data analytics background – Hyderabad. Education background from IIT preferred."
Data Scientist: Advanced Analytics,IBM,"New Delhi, Delhi",,"As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…"
Data Analytics Internship,IND-AUST Maritime Private Limited,"Navi Mumbai, Maharashtra","₹10,000 a month","Summarizing data in flexible ways, enabling quick exploration of data and producing valuable insights from the accumulated data 10."
Freshers looking out for Data Analysts,Pragathi Technologies,"Bengaluru, Karnataka","₹25,000 a year","Data Structure and Data Manipulation,. Having Data Science Certification is a Plus.*. Freshers 2018-19 pass out any branch,."
Data Scientist,SoftSol,India,,The Data Scientist will be a member of a team collaborating on the design and implementation of Big Data solutions.
"Research Associate - Clinical Data and Sample Management, Bi...",Sapien Biosciences Private Limited,"Delhi, Delhi","₹2,00,000 a year","Graduate degree in clinical research, public health, life sciences, or allied disciplines. Knowledge of electronic medical databases and careful entry of data…"
Data Scientist,Fractal Analytics,"Bengaluru, Karnataka",,"Problem scoping, data gathering, EDA, modeling, insights, and visualizations. Medical adherence, medical risk profiling, EHR data, fraud-waste-abuse."
Data Scientist,GridEdge Technologies,"Pune, Maharashtra",,"Experience with common data science toolkits, such as R, Perl, Python, SparkML, Weka, NumPy, MatLab, etc. Data mining using state-of-the-art methods."
Medical Data Transcriber,Doxper,"Andheri, Mumbai, Maharashtra",,We are looking for a Medical Data Transcriber Executive with excellent handwriting analytical skills to work on tick sheets with experience in subject areas…
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science. Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
